epoch;dataset;accuracy;avg_iou;precision;recall;f1;mAP;AP_class_0;AP_class_1;AP_class_2;AP_class_3;AP_class_4;AP_class_5;AP_class_6;AP_class_7;AP_class_8;AP_class_9;AP_class_10;AP_class_11;AP_class_12;AP_class_13;AP_class_14;AP_class_15;AP_class_16;AP_class_17;AP_class_18;AP_class_19;AP_class_20;AP_class_21;AP_class_22;AP_class_23;AP_class_24;AP_class_25
10;Train;0.0;tensor(0.5755);0.0;0.0;0.0;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.04048582995951417;0.03643724696356275;0.038461538461538464;0.038461538461538464;0.03744939271255061;0.038461538461538464;0.039473684210526314;0.03744939271255061;0.03744939271255061;0.038461538461538464;0.038461538461538464;0.04048582995951417;0.038461538461538464
10;Validation;0.0;tensor(0.5991);0.0;0.0;0.0;0.03846153846153844;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464
10;Test;0.0;tensor(0.5991);0.0;0.0;0.0;0.03846153846153844;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464
20;Train;0.0;tensor(0.6511);0.0;0.0;0.0;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.04048582995951417;0.03643724696356275;0.038461538461538464;0.038461538461538464;0.03744939271255061;0.038461538461538464;0.039473684210526314;0.03744939271255061;0.03744939271255061;0.038461538461538464;0.038461538461538464;0.04048582995951417;0.038461538461538464
20;Validation;0.0;tensor(0.6726);0.0;0.0;0.0;0.03846153846153844;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464
20;Test;0.0;tensor(0.6726);0.0;0.0;0.0;0.03846153846153844;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464
30;Train;0.0;tensor(0.6689);0.0;0.0;0.0;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.04048582995951417;0.03643724696356275;0.038461538461538464;0.038461538461538464;0.03744939271255061;0.038461538461538464;0.039473684210526314;0.03744939271255061;0.03744939271255061;0.038461538461538464;0.038461538461538464;0.04048582995951417;0.038461538461538464
30;Validation;0.0;tensor(0.7218);0.0;0.0;0.0;0.03846153846153844;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464
30;Test;0.0;tensor(0.7218);0.0;0.0;0.0;0.03846153846153844;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464
40;Train;0.0;tensor(0.7306);0.0;0.0;0.0;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.04048582995951417;0.03643724696356275;0.038461538461538464;0.038461538461538464;0.03744939271255061;0.038461538461538464;0.039473684210526314;0.03744939271255061;0.03744939271255061;0.038461538461538464;0.038461538461538464;0.04048582995951417;0.038461538461538464
